COMPANY_ID,A_NO,FILE_URL,
"1227235","A77161778","http://www.canpages.ca/printad/SSH10/A77161778.swf",
"1227415","A77150856","http://www.canpages.ca/printad/MTL10/A77150856.swf",
"1227415","A77150856","http://www.canpages.ca/printad/SSH10/A77150856.swf",
"1227415","A77150857","http://www.canpages.ca/printad/MTL10/A77150857.swf",
"1232180","A77204574","http://www.canpages.ca/printad/SSH10/A77204574.swf",
"1232180","A77204575","http://www.canpages.ca/printad/SSH10/A77204575.swf",
"1232335","A77166180","http://www.canpages.ca/printad/SSH10/A77166180.swf",
"1232829","A77183565","http://www.canpages.ca/printad/SSH10/A77183565.swf",
"1235372","A77170453","http://www.canpages.ca/printad/NSH10/A77170453.swf",
"1235430","A77135979","http://www.canpages.ca/printad/NSH10/A77135979.swf",
"1235951","A77183426","http://www.canpages.ca/printad/NSH10/A77183426.swf",
"1236066","A77160321","http://www.canpages.ca/printad/NSH10/A77160321.swf",
"1236066","A77160542","http://www.canpages.ca/printad/NSH10/A77160542.swf",
"1236178","A77160574","http://www.canpages.ca/printad/NSH10/A77160574.swf",
"1236619","A77147177","http://www.canpages.ca/printad/NSH10/A77147177.swf",
"1236619","A77147602","http://www.canpages.ca/printad/MTL10/A77147602.swf",
"1237301","A77220526","http://www.canpages.ca/printad/NSH10/A77220526.swf",
"1237612","A77193347","http://www.canpages.ca/printad/NSH10/A77193347.swf",
"1237612","A77281157","http://www.canpages.ca/printad/MTL10/A77281157.swf",
"1238559","A77147488","http://www.canpages.ca/printad/NSH10/A77147488.swf",
"1238559","A77147489","http://www.canpages.ca/printad/NSH10/A77147489.swf",
"1238575","A77155875","http://www.canpages.ca/printad/NSH10/A77155875.swf",
"1238594","A77185716","http://www.canpages.ca/printad/NSH10/A77185716.swf",
"1238643","A77150984","http://www.canpages.ca/printad/NSH10/A77150984.swf",
"1238876","A77159933","http://www.canpages.ca/printad/MTL10/A77159933.swf",
"1239249","A77135841","http://www.canpages.ca/printad/NSH10/A77135841.swf",
"1239249","A77135972","http://www.canpages.ca/printad/NSH10/A77135972.swf",
"1239249","A77149782","http://www.canpages.ca/printad/MTL10/A77149782.swf",
"1239935","A77161850","http://www.canpages.ca/printad/NSH10/A77161850.swf",
"1240014","A77136686","http://www.canpages.ca/printad/NSH10/A77136686.swf",
"1240847","A77131916","http://www.canpages.ca/printad/NSH10/A77131916.swf",
"1240847","A77131917","http://www.canpages.ca/printad/NSH10/A77131917.swf",
"1241027","A77160772","http://www.canpages.ca/printad/NSH10/A77160772.swf",
"1241027","A77160773","http://www.canpages.ca/printad/NSH10/A77160773.swf",
"1241278","A77156729","http://www.canpages.ca/printad/NSH10/A77156729.swf",
"1241278","A77156730","http://www.canpages.ca/printad/MTL10/A77156730.swf",
"1241517","A77177926","http://www.canpages.ca/printad/NSH10/A77177926.swf",
"1241776","A77133814","http://www.canpages.ca/printad/NSH10/A77133814.swf",
"1241776","A77133815","http://www.canpages.ca/printad/NSH10/A77133815.swf",
"1241776","A77135162","http://www.canpages.ca/printad/MTL10/A77135162.swf",
"1241832","A77154540","http://www.canpages.ca/printad/NSH10/A77154540.swf",
"1241975","A77147821","http://www.canpages.ca/printad/MTL10/A77147821.swf",
"1241975","A77147832","http://www.canpages.ca/printad/NSH10/A77147832.swf",
"1261935","A77388834","http://www.canpages.ca/printad/COB11/A77388834.swf",
"1262043","A77393555","http://www.canpages.ca/printad/COB11/A77393555.swf",
"1262345","A77323643","http://www.canpages.ca/printad/COB11/A77323643.swf",
